DATE_D'EXTRACTION,Date,Heure,Devises,Cours Minimum,Cours Maximum
2023-12-08 15:04:16.000,2023-12-08 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.4657,10.4621
2023-12-08 15:04:16.000,2023-12-08 00:00:00.000,11:54:52.0000000,1 Dollar u.s.a.,9.461,10.4569
2023-12-07 15:04:21.000,2023-12-07 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.4681,10.4648
2023-12-07 15:04:21.000,2023-12-07 00:00:00.000,11:54:59.0000000,1 Dollar u.s.a.,9.4679,10.4645
2023-12-06 15:05:57.000,2023-12-06 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.4607,10.4566
2023-12-06 15:05:57.000,2023-12-06 00:00:00.000,11:54:26.0000000,1 Dollar u.s.a.,9.4583,10.4539
2023-12-06 15:05:43.000,2023-12-05 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.4483,10.4428
2023-12-06 15:05:43.000,2023-12-05 00:00:00.000,11:54:17.0000000,1 Dollar u.s.a.,9.4351,10.4282
2023-12-06 15:05:29.000,2023-12-04 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.4209,10.4125
2023-12-06 15:05:29.000,2023-12-04 00:00:00.000,11:53:56.0000000,1 Dollar u.s.a.,9.4177,10.4091
2023-12-01 15:04:39.000,2023-12-01 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.3962,10.3853
2023-12-01 15:04:39.000,2023-12-01 00:00:00.000,11:54:49.0000000,1 Dollar u.s.a.,9.4057,10.3957
2023-11-30 15:04:31.000,2023-11-30 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.3671,10.3531
2023-11-30 15:04:31.000,2023-11-30 00:00:00.000,11:54:46.0000000,1 Dollar u.s.a.,9.3897,10.3781
2023-11-29 15:04:14.000,2023-11-29 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.3567,10.3416
2023-11-29 15:04:14.000,2023-11-29 00:00:00.000,11:55:24.0000000,1 Dollar u.s.a.,9.3621,10.3476
2023-11-28 15:04:19.000,2023-11-28 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.3767,10.3637
2023-11-28 15:04:19.000,2023-11-28 00:00:00.000,11:53:33.0000000,1 Dollar u.s.a.,9.3754,10.3623
2023-11-27 15:05:03.000,2023-11-27 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.3718,10.3583
2023-11-27 15:05:03.000,2023-11-27 00:00:00.000,11:54:35.0000000,1 Dollar u.s.a.,9.3723,10.3588
2023-11-24 15:04:15.000,2023-11-24 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.3962,10.3853
2023-11-24 15:04:15.000,2023-11-24 00:00:00.000,11:55:49.0000000,1 Dollar u.s.a.,9.3957,10.3848
2023-11-23 15:04:12.000,2023-11-23 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.3952,10.3842
2023-11-23 15:04:12.000,2023-11-23 00:00:00.000,11:54:24.0000000,1 Dollar u.s.a.,9.3915,10.3801
2023-11-22 15:04:16.000,2023-11-22 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.3926,10.3813
2023-11-22 15:04:16.000,2023-11-22 00:00:00.000,11:55:18.0000000,1 Dollar u.s.a.,9.401,10.3905
2023-11-22 15:04:16.000,2023-11-22 00:00:00.000,11:58:44.0000000,1 Dollar u.s.a.,9.401,10.3905
2023-11-21 15:04:19.000,2023-11-21 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.3712,10.3577
2023-11-21 15:04:19.000,2023-11-21 00:00:00.000,11:54:44.0000000,1 Dollar u.s.a.,9.3764,10.3634
2023-11-20 15:04:58.000,2023-11-20 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.3936,10.3824
2023-11-20 15:04:58.000,2023-11-20 00:00:00.000,11:57:27.0000000,1 Dollar u.s.a.,9.3863,10.3744
2023-11-17 15:04:04.000,2023-11-17 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.434,10.4271
2023-11-17 15:04:04.000,2023-11-17 00:00:00.000,11:53:47.0000000,1 Dollar u.s.a.,9.4177,10.4091
2023-11-16 15:04:24.000,2023-11-16 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.434,10.4271
2023-11-16 15:04:24.000,2023-11-16 00:00:00.000,11:54:04.0000000,1 Dollar u.s.a.,9.4277,10.4201
2023-11-15 15:02:42.000,2023-11-15 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.4172,10.4085
2023-11-15 15:02:42.000,2023-11-15 00:00:00.000,11:54:09.0000000,1 Dollar u.s.a.,9.4235,10.4154
2023-11-14 15:03:52.000,2023-11-14 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.5035,10.5039
2023-11-14 15:03:52.000,2023-11-14 00:00:00.000,11:54:12.0000000,1 Dollar u.s.a.,9.4966,10.4962
2023-11-13 15:04:56.000,2023-11-13 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.5094,10.5104
2023-11-13 15:04:56.000,2023-11-13 00:00:00.000,11:54:48.0000000,1 Dollar u.s.a.,9.5073,10.508
2023-11-10 15:04:09.000,2023-11-10 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.5271,10.53
2023-11-10 15:04:09.000,2023-11-10 00:00:00.000,11:53:45.0000000,1 Dollar u.s.a.,9.5169,10.5187
2023-11-09 15:04:07.000,2023-11-09 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.503,10.5033
2023-11-09 15:04:07.000,2023-11-09 00:00:00.000,11:53:37.0000000,1 Dollar u.s.a.,9.5148,10.5163
2023-11-08 15:04:26.000,2023-11-08 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.5174,10.5193
2023-11-08 15:04:26.000,2023-11-08 00:00:00.000,11:57:35.0000000,1 Dollar u.s.a.,9.5239,10.5264
2023-11-07 15:05:20.000,2023-11-07 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.5099,10.511
2023-11-07 15:05:20.000,2023-11-07 00:00:00.000,11:54:09.0000000,1 Dollar u.s.a.,9.5164,10.5181
2023-11-03 15:04:31.000,2023-11-03 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.5432,10.5478
2023-11-02 15:04:20.000,2023-11-02 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.5586,10.5648
2023-11-02 15:04:20.000,2023-11-02 00:00:00.000,11:53:54.0000000,1 Dollar u.s.a.,9.5422,10.5466
2023-11-01 15:04:13.000,2023-11-01 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.5776,10.5858
2023-11-01 15:04:13.000,2023-11-01 00:00:00.000,11:56:56.0000000,1 Dollar u.s.a.,9.5871,10.5963
2023-10-31 15:04:59.000,2023-10-31 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.553,10.5585
2023-10-31 15:04:59.000,2023-10-31 00:00:00.000,11:56:50.0000000,1 Dollar u.s.a.,9.5268,10.5297
2023-10-30 15:05:09.000,2023-10-30 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.5833,10.5921
2023-10-30 15:05:09.000,2023-10-30 00:00:00.000,11:55:18.0000000,1 Dollar u.s.a.,9.5735,10.5813
2023-10-27 15:04:09.000,2023-10-27 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.5844,10.5933
2023-10-27 15:04:09.000,2023-10-27 00:00:00.000,11:56:25.0000000,1 Dollar u.s.a.,9.5828,10.5915
2023-10-26 15:04:38.000,2023-10-26 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.5936,10.6035
2023-10-26 15:04:38.000,2023-10-26 00:00:00.000,11:55:52.0000000,1 Dollar u.s.a.,9.5942,10.6041
2023-10-25 15:04:14.000,2023-10-25 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.5684,10.5756
2023-10-25 15:04:14.000,2023-10-25 00:00:00.000,11:55:25.0000000,1 Dollar u.s.a.,9.5746,10.5825
2023-10-24 15:04:10.000,2023-10-24 00:00:00.000,08:30:00.0000000,1 Dollar u.s.a.,9.526,10.5288
