SEANCE,INDICE,COURS_CLOTURE,COURS_PLUS_HAUT,COURS_PLUS_BAS,COURS_OUVERTURE,COURS_VEILLE,VARIATION
2023-12-08 00:00:00.000,MASI,11885.32,11885.32,11824.97,11827.02,11827.02,0.49
2023-12-07 00:00:00.000,MASI,11827.02,11827.02,11757.6,11757.6,11757.6,0.59
2023-12-06 00:00:00.000,MASI,11757.6,11792.95,11718.07,11759.51,11759.51,-0.02
2023-12-05 00:00:00.000,MASI,11759.51,11785.1,11709.49,11728.06,11728.06,0.27
2023-12-04 00:00:00.000,MASI,11728.06,11769.43,11702.27,11748.19,11748.19,-0.17
2023-12-01 00:00:00.000,MASI,11748.19,11818.46,11731.93,11781.56,11781.56,-0.28
2023-11-30 00:00:00.000,MASI,11781.56,11825.18,11754.07,11784.33,11784.33,-0.02
2023-11-29 00:00:00.000,MASI,11784.33,11828.51,11759.89,11775.17,11775.17,0.08
2023-11-28 00:00:00.000,MASI,11775.17,11857.9,11757.5,11843.79,11843.79,-0.58
2023-11-27 00:00:00.000,MASI,11843.79,11958.13,11843.67,11957.67,11957.67,-0.95
2023-11-24 00:00:00.000,MASI,11957.67,12026.72,11954.73,11976.17,11976.17,-0.15
2023-11-23 00:00:00.000,MASI,11976.17,12008.81,11957.51,11999.71,11999.71,-0.2
2023-11-22 00:00:00.000,MASI,11999.71,12025.97,11974.8,11976.24,11976.24,0.2
2023-11-21 00:00:00.000,MASI,11976.24,12000.67,11944.19,11979.47,11979.47,-0.03
2023-11-20 00:00:00.000,MASI,11979.47,11981.46,11916.97,11947.56,11947.56,0.27
2023-11-17 00:00:00.000,MASI,11947.56,11978.41,11917.37,11969.91,11969.91,-0.19
2023-11-16 00:00:00.000,MASI,11969.91,11969.91,11875.21,11895.49,11895.49,0.63
2023-11-15 00:00:00.000,MASI,11895.49,11973.74,11874.55,11973.74,11973.74,-0.65
2023-11-14 00:00:00.000,MASI,11973.74,11982.92,11900.52,11971.71,11971.71,0.02
2023-11-13 00:00:00.000,MASI,11971.71,11973.39,11911.23,11948.6,11948.6,0.19
2023-11-10 00:00:00.000,MASI,11948.6,11950.37,11884.44,11946.92,11946.92,0.01
2023-11-09 00:00:00.000,MASI,11946.92,11966.77,11910.76,11961.14,11961.14,-0.12
2023-11-08 00:00:00.000,MASI,11961.14,12017.74,11953.14,11988.8,11988.8,-0.23
2023-11-07 00:00:00.000,MASI,11988.8,12008.94,11957.56,11977.33,11977.33,0.1
2023-11-03 00:00:00.000,MASI,11977.33,12012.86,11943.99,12007.23,12007.23,-0.25
2023-11-02 00:00:00.000,MASI,12007.23,12029.74,11927.45,12029.74,12029.74,-0.19
2023-11-01 00:00:00.000,MASI,12029.74,12032.26,11918.43,12021.64,12021.64,0.07
2023-10-31 00:00:00.000,MASI,12021.64,12030.02,11906.39,11924.9,11924.9,0.81
2023-10-30 00:00:00.000,MASI,11924.9,12023.34,11898.3,11987.77,11987.77,-0.52
2023-10-27 00:00:00.000,MASI,11987.77,12035.24,11987.59,12035.24,12035.24,-0.39
2023-10-26 00:00:00.000,MASI,12035.24,12172.09,12034.98,12141.63,12141.63,-0.88
2023-10-25 00:00:00.000,MASI,12141.63,12215.25,12137.51,12211.87,12211.87,-0.58
2023-10-24 00:00:00.000,MASI,12211.87,12243.54,12197.47,12243.53,12243.53,-0.26
2023-10-23 00:00:00.000,MASI,12243.53,12243.53,12145.01,12236.22,12236.22,0.06
2023-10-20 00:00:00.000,MASI,12236.22,12267.97,12185.42,12262.69,12262.69,-0.22
2023-10-19 00:00:00.000,MASI,12262.69,12295.88,12234.37,12249.95,12249.95,0.1
2023-10-18 00:00:00.000,MASI,12249.95,12283.52,12131.16,12136.49,12136.49,0.93
2023-10-17 00:00:00.000,MASI,12136.49,12235.01,12136.31,12192.99,12192.99,-0.46
2023-10-16 00:00:00.000,MASI,12192.99,12247.48,12165.81,12237.11,12237.11,-0.36
2023-10-13 00:00:00.000,MASI,12237.11,12272.39,12210.53,12269.23,12269.23,-0.26
2023-10-12 00:00:00.000,MASI,12269.23,12278.56,12199.56,12278.56,12278.56,-0.08
2023-10-11 00:00:00.000,MASI,12278.56,12278.56,12167.95,12225.36,12225.36,0.44
2023-10-10 00:00:00.000,MASI,12225.36,12252.99,12183.17,12229.44,12229.44,-0.03
2023-10-09 00:00:00.000,MASI,12229.44,12305.77,12194.59,12294.36,12294.36,-0.53
2023-10-06 00:00:00.000,MASI,12294.36,12552.7,12252.3,12252.3,12252.3,0.34
