Étiquettes de lignes,AGROALIMENTAIRE & PRODUCTION,ASSURANCES,BANQUES,BATIMENT & MATERIAUX DE CONSTRUCTION,BOISSONS,CHIMIE,DISTRIBUTEURS,ELECTRICITE,EQUIPEMENTS ELECTRONIQUES & ELECTRIQUES,INDUSTRIE PHARMACEUTIQUE,INGENIERIES & BIENS D’EQUIPEMENT INDUSTRIELS,LOISIRS ET HOTELS,"MATERIELS,LOGICIELS & SERVICES INFORMATIQUES",MINES,PARTICIPATION ET PROMOTION IMMOBILIERES,PETROLE & GAZ,SERVICES AUX COLLECTIVITES,SERVICES DE TRANSPORT,SOCIETE DE FINANCEMENT & AUTRES ACTIVITES FINANCIERES,SOCIETES DE PLACEMENT IMMOBILIER,SOCIETES DE PORTEFEUILLES - HOLDINGS,SYLVICULTURE & PAPIER,TELECOMMUNICATIONS,TRANSPORT
2020-12-31 00:00:00.000,30960.09,4384.83,12207.24,16618.35,14278.1,3977.56,31466.88,2044.69,3857.14,2966.03,67.29,515.92,2476.69,21182.9,2450.5,14934.35,1558.13,3230.77,7446.94,924.02,5292.9,18.7,2128.17,2375.8
2021-01-04 00:00:00.000,31373.14,4358.02,12307.0,16696.52,14278.1,3985.56,31466.63,2044.69,3857.14,2968.46,68.23,504.38,2510.19,21618.15,2482.15,15389.46,1504.17,3260.0,7593.53,911.26,5262.78,19.42,2106.88,2375.8
2021-01-05 00:00:00.000,31415.16,4356.87,12130.07,16177.02,14278.1,3969.16,31426.86,2053.63,3857.14,2968.46,67.3,509.36,2492.29,21848.05,2500.36,15637.88,1504.17,3261.54,7665.01,923.97,5082.04,19.81,2113.49,2388.38
2021-01-06 00:00:00.000,31456.46,4343.67,12005.83,16103.71,14278.1,4057.57,31327.99,2044.69,3857.14,2968.46,69.69,504.6,2491.65,21929.61,2558.38,15688.17,1508.33,3307.69,7688.36,922.64,5262.78,20.03,2112.02,2388.38
2021-01-07 00:00:00.000,31661.06,4341.6,12118.76,16284.58,14498.94,4088.77,30901.4,2053.63,3857.14,2968.46,70.64,500.08,2495.75,21858.06,2544.3,15424.61,1506.25,3324.62,7675.62,921.8,5083.55,20.02,2119.36,2421.47
2021-01-08 00:00:00.000,31705.18,4342.25,12043.17,16220.38,14498.94,4041.56,31369.5,2042.46,3857.14,2966.03,70.57,502.34,2559.65,21592.57,2519.8,15439.7,1479.17,3307.69,7675.62,911.58,5244.71,19.33,2122.3,2421.47
2021-01-12 00:00:00.000,31896.74,4349.39,12141.73,16416.92,14498.94,4086.77,31310.77,2022.35,3858.57,2966.03,69.36,502.34,2564.35,21694.92,2548.04,15404.5,1454.79,3307.69,7780.08,914.71,5244.71,19.23,2113.49,2454.57
2021-01-13 00:00:00.000,31744.73,4347.29,12083.66,16286.64,14498.94,4036.76,31300.15,2033.52,3802.86,2966.03,70.81,511.17,2545.73,21809.59,2527.63,15520.17,1450.0,3292.31,7756.73,921.56,5149.82,18.83,2113.49,2428.09
2021-01-14 00:00:00.000,31923.39,4353.12,12193.96,16484.24,14282.8,4161.17,31137.31,2043.58,3727.14,2966.03,72.32,502.34,2539.93,21892.98,2493.42,15525.2,1454.17,3329.23,7792.1,912.91,5238.68,18.79,2117.16,2428.09
2021-01-15 00:00:00.000,32136.45,4359.33,12361.18,16612.58,13906.9,4132.37,31061.59,2089.16,3727.14,2966.03,73.89,511.17,2560.16,21756.12,2551.6,15576.61,1404.17,3352.31,7760.17,912.43,5233.27,19.43,2128.17,2464.49
