MOIS,INFLATION,INFLATION_SOUS_JACENTE
2023-09-01 00:00:00.000,4.9,4.4
2023-08-01 00:00:00.000,5.0,4.7
2023-07-01 00:00:00.000,4.9,5.1
2023-06-01 00:00:00.000,5.5,5.3
2023-05-01 00:00:00.000,7.1,6.1
2023-04-01 00:00:00.000,7.8,7.3
2023-03-01 00:00:00.000,8.2,7.9
2023-02-01 00:00:00.000,10.1,8.5
2023-01-01 00:00:00.000,8.9,8.4
2022-12-01 00:00:00.000,8.3,8.3
2022-11-01 00:00:00.000,8.3,8.0
2022-10-01 00:00:00.000,8.1,7.6
2022-09-01 00:00:00.000,8.3,7.4
2022-08-01 00:00:00.000,7.9961464354528,7.5490116013739
2022-07-01 00:00:00.000,7.70712909441233,7.62909022949695
2022-06-01 00:00:00.000,7.15667311411991,7.48206658701635
2022-05-01 00:00:00.000,5.85975024015369,6.71638757138708
2022-04-01 00:00:00.000,5.87668593448941,5.48976977884739
2022-03-01 00:00:00.000,5.26315789473683,4.79935055728942
2022-02-01 00:00:00.000,3.61328125,4.37872838848009
2022-01-01 00:00:00.000,3.1,3.9
