Date de référence,Indice MONIA,Volume JJ
2023-12-06 00:00:00.000,2.936,10072
2023-12-05 00:00:00.000,2.969,7015
2023-12-04 00:00:00.000,2.955,9010
2023-12-01 00:00:00.000,2.919,11834
2023-11-30 00:00:00.000,2.953,8483
2023-11-29 00:00:00.000,2.925,10053
2023-11-28 00:00:00.000,2.919,10936
2023-11-27 00:00:00.000,2.921,10702
2023-11-24 00:00:00.000,2.917,11513
2023-11-23 00:00:00.000,2.923,8528
2023-11-22 00:00:00.000,2.893,11818
2023-11-21 00:00:00.000,2.898,15244
2023-11-20 00:00:00.000,2.897,13134
2023-11-17 00:00:00.000,2.934,9601
2023-11-16 00:00:00.000,2.898,10076
2023-11-15 00:00:00.000,2.936,9156
2023-11-14 00:00:00.000,2.932,9272
2023-11-13 00:00:00.000,2.936,9818
2023-11-09 00:00:00.000,2.928,9599
2023-11-08 00:00:00.000,2.93,11336
2023-11-07 00:00:00.000,2.935,10830
2023-11-03 00:00:00.000,2.933,9967
2023-11-02 00:00:00.000,2.925,8281
2023-11-01 00:00:00.000,2.927,11198
2023-10-31 00:00:00.000,2.946,8238
2023-10-30 00:00:00.000,2.945,8623
2023-10-27 00:00:00.000,2.924,12244
2023-10-26 00:00:00.000,2.939,7982
2023-10-25 00:00:00.000,2.924,11514
2023-10-24 00:00:00.000,2.931,12491
2023-10-23 00:00:00.000,2.921,13291
2023-10-20 00:00:00.000,2.908,11827
2023-10-19 00:00:00.000,2.933,9804
2023-10-18 00:00:00.000,2.938,11236
2023-10-17 00:00:00.000,2.931,10873
2023-10-16 00:00:00.000,2.947,11112
2023-10-13 00:00:00.000,2.954,11054
2023-10-12 00:00:00.000,2.935,9380
2023-10-11 00:00:00.000,2.926,13656
2023-10-10 00:00:00.000,2.873,8648
2023-10-09 00:00:00.000,2.953,10486
2023-10-06 00:00:00.000,2.928,7662
2023-10-05 00:00:00.000,2.941,7612
2023-10-04 00:00:00.000,2.964,12313
2023-10-03 00:00:00.000,2.989,9517
2023-10-02 00:00:00.000,2.985,6930
2023-09-27 00:00:00.000,3.018,13751
2023-09-26 00:00:00.000,2.956,9172
2023-09-25 00:00:00.000,2.892,13038
2023-09-22 00:00:00.000,2.937,10259
2023-09-21 00:00:00.000,2.914,13549
2023-09-20 00:00:00.000,2.914,12168
2023-09-19 00:00:00.000,2.903,15363
2023-09-18 00:00:00.000,2.925,10271
2023-09-15 00:00:00.000,2.909,13655
2023-09-14 00:00:00.000,2.928,12137
2023-09-13 00:00:00.000,2.916,14350
2023-09-12 00:00:00.000,2.909,14209
2023-09-11 00:00:00.000,2.928,11520
2023-09-08 00:00:00.000,2.937,10006
2023-09-07 00:00:00.000,2.944,9964
2023-09-06 00:00:00.000,2.905,13905
2023-09-05 00:00:00.000,2.918,12041
2023-09-04 00:00:00.000,2.926,10278
2023-09-01 00:00:00.000,2.939,9525
2023-08-31 00:00:00.000,2.955,11483
2023-08-30 00:00:00.000,2.937,9729
2023-08-29 00:00:00.000,2.926,8903
2023-08-28 00:00:00.000,2.928,9610
2023-08-25 00:00:00.000,2.92,10834
2023-08-24 00:00:00.000,2.914,9417
2023-08-23 00:00:00.000,2.907,12694
2023-08-22 00:00:00.000,2.926,9059
2023-08-18 00:00:00.000,2.922,10180
2023-08-17 00:00:00.000,2.912,11653
2023-08-16 00:00:00.000,2.916,9731
2023-08-15 00:00:00.000,2.914,11382
2023-08-11 00:00:00.000,2.93,10184
